Feature,Source,Group,Formula_Definition,Possible_Physical_Interpretation,Category,Used_By_Primary_Classifier,Channel_Dominance_R2_vs_Level,Leakage_Audit_Evidence
mean_I,04_extract_features.py,Time-domain amplitude and shape,mean(I),May reflect a small DC offset introduced by the modulator on the I arm; could also be receiver-side estimation noise.,C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.027551033194037993,N/A — not a metadata column
mean_Q,04_extract_features.py,Time-domain amplitude and shape,mean(Q),May reflect a small DC offset introduced by the modulator on the Q arm; could also be receiver-side estimation noise.,C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.024500110184143147,N/A — not a metadata column
var_I,04_extract_features.py,Time-domain amplitude and shape,var(I),"Can be influenced by received signal power (path loss, fading); not on its own a hardware-specific measure.",C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.9372086522226672,N/A — not a metadata column
var_Q,04_extract_features.py,Time-domain amplitude and shape,var(Q),"Can be influenced by received signal power (path loss, fading); not on its own a hardware-specific measure.",C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.9367995134809611,N/A — not a metadata column
std_I,04_extract_features.py,Time-domain amplitude and shape,sqrt(var(I)),Closely tracks received signal amplitude; may say more about link conditions than about the transmitter (see Channel_Dominance_R2_vs_Level).,C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.9906378534488086,N/A — not a metadata column
std_Q,04_extract_features.py,Time-domain amplitude and shape,sqrt(var(Q)),Closely tracks received signal amplitude; may say more about link conditions than about the transmitter (see Channel_Dominance_R2_vs_Level).,C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.9904644340864865,N/A — not a metadata column
max_I,04_extract_features.py,Time-domain amplitude and shape,max(I),Peak-amplitude measure; can be influenced by received power and by front-end clipping/compression.,C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.9531586404057611,N/A — not a metadata column
max_Q,04_extract_features.py,Time-domain amplitude and shape,max(Q),Peak-amplitude measure; can be influenced by received power and by front-end clipping/compression.,C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.9510450173093613,N/A — not a metadata column
min_I,04_extract_features.py,Time-domain amplitude and shape,min(I),Negative peak-amplitude measure; can be influenced by received power and by front-end clipping/compression.,C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.9480461653213642,N/A — not a metadata column
min_Q,04_extract_features.py,Time-domain amplitude and shape,min(Q),Negative peak-amplitude measure; can be influenced by received power and by front-end clipping/compression.,C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.9469100210103648,N/A — not a metadata column
median_I,04_extract_features.py,Time-domain amplitude and shape,median(I),Robust centre estimate; may reflect the same small DC-offset effects as mean_I but is less sensitive to outliers.,C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.3100564349116089,N/A — not a metadata column
median_Q,04_extract_features.py,Time-domain amplitude and shape,median(Q),Robust centre estimate; may reflect the same small DC-offset effects as mean_Q but is less sensitive to outliers.,C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.3009429431264078,N/A — not a metadata column
